Meta-Dimension;Dimension;Characteristic;Carboledger;SAP Sustainability Data Exchange;CircularTree;EcoVadis;iLEAP;Together for Sustainability;SiGREEN;Ecochain;Carbon Maps;International Data Spaces Association;European Single Access Point;Prometheus-X;Agri-Gaia;Cofinity-X;TE-FOOD;Zetes;tex-tracer;djustconnect;dataspace.dih;eufarmbook;JoinData;FoodLogiQ;TraceX;Foodready;IBM Food Trust;FoodChain ID;Sphera;TraceGains;Infor Nexus;FoodDocs;Farmsoft;Connecting Food;Kezzler;ReposiTrak Traceability Network;Trusty;Fairfood;Microsoft Azure;Snowflake Data Marketplace;Databricks;Cloudera;Delta Sharing;Dawex;myOpenFactory;KetenlinK;ECI Software Solutions;EDI4STEEL;UBL-hub;Tradecloud;SCSN ;Partnership for Carbon Transparency (PACT);CDP;Catena-X;Global Battery Alliance;Green Deal Data Space;GS1;Global Food Safety Initiative;Global Dialogue on Seafood Traceability;HERE Technologies;PTV Group;INRIX;Kapsch TrafficCom;Eona-x;Mobility Data Space;Rail Data Space;Factory-X;deployEMDS;tn-its;Advaneo Data Marketplace;SENSORIS ASBL;Dataforroadsafety;project44;FourKites;EudraVigilance;TraceLink;EHDS;TriNetX;TransCelerate BioPharma;Cdisc;Rfxcel;Farmatrust;Agrimetrics;Farmobile;MediLedger Network;Darwin EU;CarbonChain;Vinchain;Caruso;oneTRANSPORT;Overture Maps Foundation;PharmaLedger;Gaia-X;EuProGigant;Spherity;SINE Foundation;Vendia;OpenDataspaceLab;GAIA-X4 Future Mobility;GreenDataHub;FIWARE Foundation ;Health Data Hub (France)
Offering for data providers;Regulatory compliance;Pre-certified data formats;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;N/A;Yes;N/A;N/A;Yes;No;Yes;No;No;N/A;N/A;No;Yes;No;Yes;Yes;Yes;Yes;Yes;N/A;Yes;Yes;No;Yes;Yes;No;N/A;N/A;N/A;N/A;N/A;N/A;No;Yes;Yes;Yes;Yes;Yes;N/A;N/A;Yes;Yes;N/A;No;No;N/A;No;Yes;N/A;N/A;N/A;No;N/A;N/A;N/A;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Yes;Yes;N/A;N/A;Yes;Yes;No;N/A;N/A;Yes;Yes;Yes;N/A;No;N/A;N/A;No;No;Yes;Yes;N/A;N/A;N/A;Yes;No;N/A;Yes
;;Audit trail for regulators;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;N/A;Yes;N/A;N/A;Yes;Yes;Yes;Yes;No;N/A;N/A;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;N/A;Yes;Yes;Yes;Yes;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Yes;Yes;Yes;Yes;Yes;N/A;N/A;No;Yes;N/A;No;No;N/A;No;No;N/A;N/A;N/A;No;N/A;N/A;N/A;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Yes;Yes;N/A;N/A;No;Yes;Yes;N/A;N/A;Yes;Yes;Yes;N/A;Yes;N/A;N/A;Yes;No;Yes;Yes;N/A;N/A;N/A;Yes;No;N/A;Yes
;;Mandated reporting fulfillment;Yes;Yes;No;No;No;No;No;No;No;N/A;Yes;N/A;N/A;No;No;Yes;No;No;N/A;N/A;No;Yes;No;Yes;No;Yes;Yes;Yes;N/A;Yes;Yes;No;No;Yes;No;N/A;N/A;N/A;N/A;N/A;N/A;No;Yes;Yes;Yes;No;Yes;N/A;N/A;No;Yes;N/A;No;No;N/A;No;No;N/A;N/A;N/A;Yes;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Yes;Yes;N/A;N/A;Yes;Yes;No;N/A;N/A;Yes;Yes;Yes;N/A;No;N/A;N/A;No;No;No;Yes;N/A;N/A;N/A;No;No;N/A;Yes
;;Liability absorption;No;No;No;No;No;No;No;No;No;N/A;No;N/A;N/A;No;No;No;No;No;N/A;N/A;No;No;No;No;No;No;No;No;N/A;No;No;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;No;No;N/A;N/A;No;No;N/A;No;No;N/A;No;No;N/A;N/A;N/A;No;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;No;No;N/A;N/A;No;No;No;N/A;N/A;No;No;No;N/A;No;N/A;N/A;No;No;No;No;N/A;N/A;N/A;No;No;N/A;No
;;Consent management infrastructure;No;Yes;No;No;No;No;No;No;No;N/A;No;N/A;N/A;Yes;No;No;Yes;Yes;N/A;N/A;Yes;No;No;No;No;No;No;No;N/A;No;No;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;Yes;No;No;No;No;No;N/A;N/A;No;No;N/A;No;No;N/A;No;No;N/A;N/A;N/A;No;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;Yes;N/A;N/A;No;No;No;N/A;N/A;No;No;No;N/A;Yes;N/A;N/A;No;Yes;No;No;N/A;N/A;N/A;No;No;N/A;Yes
;Transparency & traceability;Chain-of-custody visibility;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;N/A;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;N/A;No;Yes;N/A;N/A;N/A;N/A;N/A;Yes;Yes;No;No;Yes;Yes;Yes;Yes;N/A;Yes;No;No;N/A;N/A;Yes;Yes;Yes;Yes;Yes;No;N/A;No;Yes;Yes;Yes;Yes;Yes;N/A;N/A;N/A;No;Yes;Yes;No;Yes;Yes;N/A;Yes;Yes;N/A;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;N/A
;;Auditable contribution history;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;Yes;No;N/A;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;N/A;No;Yes;N/A;N/A;N/A;N/A;N/A;Yes;Yes;No;No;Yes;Yes;No;No;N/A;No;No;No;N/A;N/A;Yes;Yes;Yes;Yes;No;No;N/A;No;No;Yes;Yes;Yes;Yes;N/A;N/A;N/A;No;Yes;Yes;Yes;Yes;Yes;N/A;Yes;Yes;N/A;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;N/A
;;Data quality reputation signals;No;No;No;Yes;No;Yes;No;No;No;No;No;No;N/A;No;No;No;Yes;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;N/A;No;No;N/A;N/A;N/A;N/A;N/A;No;No;No;Yes;No;Yes;No;No;N/A;No;No;No;N/A;N/A;No;No;No;No;No;No;N/A;No;No;Yes;Yes;No;No;N/A;N/A;N/A;No;No;No;Yes;No;No;N/A;No;No;N/A;No;No;No;No;No;No;No;No;No;No;No;No;N/A
;;Methodological transparency;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;N/A;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;N/A;Yes;No;N/A;N/A;N/A;N/A;N/A;No;Yes;Yes;No;Yes;Yes;No;Yes;N/A;Yes;No;No;N/A;N/A;Yes;Yes;Yes;Yes;Yes;Yes;N/A;Yes;Yes;No;No;Yes;No;N/A;N/A;N/A;Yes;No;No;No;No;Yes;N/A;No;No;N/A;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;N/A
;;Data origin and licensing visibility;No;No;No;No;No;No;No;No;No;No;Yes;Yes;N/A;Yes;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;N/A;No;Yes;N/A;N/A;N/A;N/A;N/A;No;No;No;Yes;Yes;No;Yes;No;N/A;No;No;No;N/A;N/A;Yes;Yes;Yes;Yes;Yes;No;N/A;No;No;No;No;Yes;No;N/A;N/A;N/A;No;No;No;Yes;No;No;N/A;Yes;No;N/A;Yes;Yes;No;Yes;Yes;No;No;No;Yes;Yes;Yes;No;N/A
